f T_Hamming T_Suggested T_R(1,3)  E_Hamming E_Suggested E_R(1,3)
0.5 0.938 0.98 0.965  0.938	0.969	0.937
0.3333333333333333 0.737 0.857 0.805 0.802	0.868	0.751
0.25 0.555 0.7 0.633 0.684	0.763	0.575
0.2 0.423 0.564 0.497  0.590	0.672	0.443
0.16666666666666666 0.33 0.457 0.395  0.518	0.598	0.348	
0.14285714285714285  0.264 0.376 0.32 0.460	0.537	0.279
0.125 0.215 0.313 0.264  0.414	0.487	0.228
0.1111111111111111 0.178 0.264 0.221 0.376	0.445	0.190
0.1  0.15 0.225 0.187 0.344	0.410	0.160
